route_key,rows,beats_zero_rmse,beats_zero_mae,sparse_stage_b,min_move_delta,min_stage_b_moves,stage,rank,feature,metric_name,metric_value,is_route_engineered_feature
SPD-DAC,909,False,False,False,200.0,5,stage_a,4,num__lowest_bucket_seat_proxy,importance,0.052107096022205146,False
SPD-DAC,909,False,False,False,200.0,5,stage_a,5,num__search_hour,importance,0.049326130228714134,False
SPD-DAC,909,False,False,False,200.0,5,stage_a,6,num__days_to_departure,importance,0.047937946883534664,False
SPD-DAC,909,False,False,False,200.0,5,stage_a,7,cat__inventory_proxy_quality_missing,importance,0.04759830933331427,False
SPD-DAC,909,False,False,False,200.0,5,stage_a,8,num__dtd_x_dep_weekday,importance,0.038146195019958126,True
SPD-DAC,909,False,False,False,200.0,5,stage_a,9,num__fare_ladder_spread_per_step,importance,0.030588998040543994,True
SPD-DAC,909,False,False,False,200.0,5,stage_a,10,num__fare_adt1,importance,0.027859900449704274,False
SPD-DAC,909,False,False,False,200.0,5,stage_a,11,num__open_cap_clamped_ratio,importance,0.027764417110903678,False
SPD-DAC,909,False,False,False,200.0,5,stage_a,12,num__open_seat_sum,importance,0.02635741347668224,False
SPD-DAC,909,False,False,False,200.0,5,stage_a,13,num__fare_ladder_spread_to_low_ratio,importance,0.025414637742879817,True
SPD-DAC,909,False,False,False,200.0,5,stage_a,14,num__fare_spread_pct,importance,0.024955146212743813,False
SPD-DAC,909,False,False,False,200.0,5,stage_a,15,num__fare_ladder_spread_per_open_bucket,importance,0.022569107952589647,True
SPD-DAC,909,False,False,False,200.0,5,stage_b,1,num__fare_ladder_spread_per_open_bucket,coef,218.05960018899924,True
SPD-DAC,909,False,False,False,200.0,5,stage_b,2,cat__lowest_bucket_code_adt1_DS,coef,89.84678314279921,False
SPD-DAC,909,False,False,False,200.0,5,stage_b,3,cat__lowest_open_bucket_code_DS,coef,89.84678314279921,False
SPD-DAC,909,False,False,False,200.0,5,stage_b,4,num__lowest_bucket_seat_proxy,coef,83.52184946528213,False
SPD-DAC,909,False,False,False,200.0,5,stage_b,5,cat__search_tod_bin_morning_peak,coef,82.39204427103743,True
SPD-DAC,909,False,False,False,200.0,5,stage_b,6,num__fare_ladder_spread_per_step,coef,72.34705498936978,True
SPD-DAC,909,False,False,False,200.0,5,stage_b,7,num__search_hour,coef,64.73600908130742,False
SPD-DAC,909,False,False,False,200.0,5,stage_b,8,num__dep_weekday,coef,-63.18015327406709,False
SPD-DAC,909,False,False,False,200.0,5,stage_b,9,cat__lowest_bucket_code_adt1_SV,coef,-63.175130141960636,False
SPD-DAC,909,False,False,False,200.0,5,stage_b,10,cat__search_tod_bin_late_night,coef,-63.175130141960636,True
SPD-DAC,909,False,False,False,200.0,5,stage_b,11,cat__lowest_open_bucket_code_SV,coef,-63.175130141960636,False
SPD-DAC,909,False,False,False,200.0,5,stage_b,12,num__dep_month,coef,54.44328370718857,False
SPD-DAC,909,False,False,False,200.0,5,stage_b,13,num__days_to_departure,coef,49.2817805076226,False
SPD-DAC,909,False,False,False,200.0,5,stage_b,14,num__hours_to_departure,coef,43.92989284417128,False
SPD-DAC,909,False,False,False,200.0,5,stage_b,15,cat__dtd_bucket_D0,coef,-35.4073301707819,True
